Office,Primary,Secondary,Lat,Long,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name13,Name14
NEFSC,WH Lab,,41.5254587,-70.6742067,WH Lab,,,,,,,,,,,,,
NWFSC,Montlake Lab,,47.6448556,-122.3069625,,,,,Montlake Lab (Seattle),,,,,,,,,
SEFSC,Miami Lab,,25.7334877,-80.1605495,,,,,,Miami Lab,,,,,,,,
SWFSC,La Jolla Lab,,32.8700747,-117.251156,,,,,,,,,,,La Jolla Lab,,,
AFSC,Alaska Fisheries Science Center Main Campus,,47.6866365,-122.2598572,,,,,,,,,,,,,,AFSC Main Lab (Seattle)
