Office,Name,Type,Lat,Long,Name1,Name2,Name3,Name4
NWFSC,Manchester Lab,,47.570678,-122.5521838,Manchester Lab,,,
NWFSC,Pasco Lab,,46.2086414,-119.0552641,,Pasco Lab,,
NWFSC,Point Adams Lab,,46.1998685,-123.9465721,,,Point Adams Lab,
NWFSC,Newport Lab,,44.6235403,-124.0469845,,,,Newport Lab
