Office,Name,Type,Lat,Long,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name13,Name14
NEFSC,SH Lab,Secondary,40.457995,-74.0025007,,Sandy Hook Lab,,,,,,,,,,,,
NEFSC,MI Lab,Secondary,41.2121098,-73.0536257,,,Milford Lab,,,,,,,,,,,
NEFSC,NA LAB,Secondary,41.4908041,-71.4214294,,,,Narragansett Lab,,,,,,,,,,
