Office,Primary,Secondary,Lat,Long,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name13,Name14
NEFSC,,SH Lab,40.457995,-74.0025007,,SH Lab,,,,,,,,,,,,
NEFSC,,MI Lab,41.2121098,-73.0536257,,,MI Lab,,,,,,,,,,,
NEFSC,,NA LAB,41.4908041,-71.4214294,,,,NA Lab,,,,,,,,,,
SEFSC,,Beaufort Lab,34.7187271,-76.6724365,,,,,,,Beaufort Lab,,,,,,,
SEFSC,,Galveston Lab,29.2755168,-94.8150484,,,,,,,,Galveston Lab,,,,,,
SEFSC,,Pascagoula Lab,30.366021,-88.5617118,,,,,,,,,Pascagoula Lab,,,,,
SEFSC,,Panama City Lab,30.1476494,-85.7142667,,,,,,,,,,Panama City Lab,,,,
SWFSC,,Santa Cruz Lab,36.9520712,-122.0647781,,,,,,,,,,,,Santa Cruz Lab,,
SWFSC,,Monterey Lab,36.6039386,-121.8949021,,,,,,,,,,,,,Monterey Lab,
