Office.name,Lat,Long
NEFSC,41.5254587,-70.6742067
SEFSC,25.7334877,-80.1605495
SWFSC,32.8700747,-117.251156
NWFSC,47.6448556,-122.3069625
AFSC,58.3915,-134.773
PIFSC,21.3659297,-157.9628553
